"Variable-Selection-Method","Missingness-Handling-Method","Causal-Effect-Estimate","Bias","Proportional-Bias","Coverage","Blocked-Paths","Proportion-Paths","Empirical-Standard-Error"
"Fully-adjusted","CCA",0.507618,0.007618,0.015237,0.94,28,0.875,0.036277
"Fully-adjusted","Within-MI",NA,NA,NA,NA,NA,NA,NA
"Fully-adjusted","Across-MI",0.506585,0.006585,0.013169,0.5875,28,0.875,0.018144
"Fully-adjusted","Indicator-encoding",0.510007,0.010007,0.020014,0.908,28,0.875,0.017875
"Fully-adjusted","Dichotomizing",0.51154,0.01154,0.023081,0.911,28,0.875,0.017569
"Unadjusted","CCA",0.63854,0.13854,0.277081,0.0145,0,0,0.03388
"Unadjusted","Within-MI",NA,NA,NA,NA,NA,NA,NA
"Unadjusted","Across-MI",0.691009,0.191009,0.382018,0,0,0,0.016231
"Unadjusted","Indicator-encoding",0.690795,0.190795,0.381591,0,0,0,0.01663
"Unadjusted","Dichotomizing",0.691371,0.191371,0.382742,0,0,0,0.01609
"Lasso","CCA",0.506007,0.006007,0.012015,0.9405,21.715,0.678594,0.036119
"Lasso","Within-MI",0.507151,0.007151,0.014301,NA,26.2865,0.821453,0.018299
"Lasso","Across-MI",0.506503,0.006503,0.013007,0.5865,27.1885,0.849641,0.018145
"Lasso","Indicator-encoding",0.50968,0.00968,0.019361,0.9095,26.0975,0.815547,0.017848
"Lasso","Dichotomizing",0.511342,0.011342,0.022685,0.9145,26.351,0.823469,0.017552
"Exposure-Lasso","CCA",0.507369,0.007369,0.014739,0.9405,24.872,0.77725,0.036267
"Exposure-Lasso","Within-MI",0.507488,0.007488,0.014976,NA,27.766,0.867687,0.018344
"Exposure-Lasso","Across-MI",0.506578,0.006578,0.013157,0.5875,27.844,0.870125,0.018144
"Exposure-Lasso","Indicator-encoding",0.510006,0.010006,0.020012,0.9085,27.795,0.868594,0.017874
"Exposure-Lasso","Dichotomizing",0.511536,0.011536,0.023073,0.911,27.86,0.870625,0.017567
"Union-Lasso","CCA",0.507629,0.007629,0.015259,0.94,27.054,0.845437,0.036275
"Union-Lasso","Within-MI",0.507506,0.007506,0.015011,NA,27.989,0.874656,0.018344
"Union-Lasso","Across-MI",0.506585,0.006585,0.013169,0.5875,27.9945,0.874828,0.018144
"Union-Lasso","Indicator-encoding",0.51002,0.01002,0.020039,0.908,27.9815,0.874422,0.017875
"Union-Lasso","Dichotomizing",0.511541,0.011541,0.023082,0.911,27.9815,0.874422,0.017569
