"Variable-Selection-Method","Missingness-Handling-Method","Causal-Effect-Estimate","Bias","Proportional-Bias","Coverage","Blocked-Paths","Proportion-Paths","Empirical-Standard-Error"
"Fully-adjusted","CCA",0.500155,0.000155,0.00031,0.95,28,0.875,0.031874
"Fully-adjusted","Within-MI",0.50816,0.00816,0.016319,0.95,26.1,0.815625,0.0209
"Fully-adjusted","Across-MI",0.50196,0.00196,0.003921,0.65,28,0.875,0.01867
"Fully-adjusted","Indicator-encoding",0.506973,0.006973,0.013946,0.9,28,0.875,0.016424
"Fully-adjusted","Dichotomizing",0.512667,0.012667,0.025334,1,28,0.875,0.011786
"Unadjusted","CCA",0.681439,0.181439,0.362879,0,0,0,0.02974
"Unadjusted","Within-MI",0.692926,0.192926,0.385852,0,0,0,0.020577
"Unadjusted","Across-MI",0.686923,0.186923,0.373845,0,0,0,0.016516
"Unadjusted","Indicator-encoding",0.689075,0.189075,0.37815,0,0,0,0.014759
"Unadjusted","Dichotomizing",0.694036,0.194036,0.388073,0,0,0,0.011569
"Lasso","CCA",0.496958,-0.003042,-0.006084,0.95,21.9,0.684375,0.031448
"Lasso","Within-MI",0.507725,0.007725,0.015449,0.95,26.1,0.815625,0.020844
"Lasso","Across-MI",0.501845,0.001845,0.003691,0.65,26.85,0.839063,0.018782
"Lasso","Indicator-encoding",0.506847,0.006847,0.013695,0.9,26.85,0.839063,0.016402
"Lasso","Dichotomizing",0.51227,0.01227,0.024541,1,25.85,0.807813,0.011549
"Exposure-Lasso","CCA",0.499462,-0.000538,-0.001077,0.95,25.9,0.809375,0.031402
"Exposure-Lasso","Within-MI",0.508066,0.008066,0.016133,0.95,27.5,0.859375,0.02089
"Exposure-Lasso","Across-MI",0.50196,0.00196,0.00392,0.65,27.9,0.871875,0.01867
"Exposure-Lasso","Indicator-encoding",0.50697,0.00697,0.01394,0.9,27.85,0.870313,0.016425
"Exposure-Lasso","Dichotomizing",0.512644,0.012644,0.025287,1,27.85,0.870313,0.011786
"Union-Lasso","CCA",0.500176,0.000176,0.000351,0.95,27.55,0.860938,0.031878
"Union-Lasso","Within-MI",0.50816,0.00816,0.016319,0.95,28,0.875,0.0209
"Union-Lasso","Across-MI",0.50196,0.00196,0.003921,0.65,27.95,0.873437,0.01867
"Union-Lasso","Indicator-encoding",0.506973,0.006973,0.013946,0.9,28,0.875,0.016424
"Union-Lasso","Dichotomizing",0.512667,0.012667,0.025334,1,28,0.875,0.011786
